flightnum,cancellation_count
4225,127
529,122
301,110
325,98
360,98
4105,98
1783,97
4104,94
2344,94
23,92
382,90
1685,90
30,89
653,86
538,85
1170,84
4402,84
824,84
2292,84
4351,83
628,83
370,82
4466,82
64,82
455,81
152,81
4331,80
373,80
20,80
539,80
4206,80
4157,79
1212,78
1719,78
4178,78
4381,78
1430,78
372,78
25,78
884,77
1609,77
425,77
4134,76
1020,76
41,76
4142,76
1287,76
637,75
469,75
4099,75
354,75
493,75
601,75
439,75
407,75
5035,75
4445,75
4120,74
1026,74
1219,74
361,73
1637,73
4394,73
543,73
4550,73
4218,73
4849,73
1114,73
4271,73
4240,72
5442,72
1123,72
368,72
667,72
530,72
1551,71
690,71
1730,71
438,71
1023,71
1618,71
364,71
470,70
1447,70
1445,70
631,70
1584,70
716,70
31,70
1628,70
1423,69
14,69
4107,69
151,69
656,69
831,69
28,69
532,68
4993,68
542,68
467,68
1583,68
4419,68
4098,68
4311,68
4823,67
629,67
162,67
297,67
1929,67
515,67
1201,67
4089,67
4792,67
627,67
4509,66
11,66
650,66
489,66
732,66
4086,66
342,66
4340,66
418,66
501,66
4820,65
1620,65
1213,65
4513,65
1789,65
1139,65
516,65
4108,65
4093,65
1210,65
4130,65
649,65
776,65
4853,65
138,65
540,64
4207,64
1140,64
4365,64
3216,64
450,64
836,64
141,64
1065,64
1086,63
5479,63
1816,63
1803,63
525,63
509,63
4113,63
1226,63
1449,63
654,63
1640,63
648,62
708,62
4087,62
4564,62
1085,62
1152,62
378,62
852,62
5863,62
4437,62
1223,62
3716,62
4803,62
163,62
505,62
1448,62
833,62
743,62
584,62
2328,61
524,61
1258,61
731,61
557,61
4414,61
287,61
179,61
688,61
878,61
5805,61
1204,61
1216,61
4429,61
353,60
484,60
33,60
276,60
611,60
4203,60
1784,60
386,60
4228,60
1664,60
522,60
1028,60
4327,60
337,60
296,60
3257,59
769,59
65,59
4659,59
1184,59
4514,59
518,59
775,59
4131,59
930,59
617,59
1175,59
1407,59
1593,59
706,59
2396,59
4446,59
1632,59
1083,59
374,59
68,58
224,58
133,58
190,58
683,58
250,58
4367,58
4251,58
351,58
608,58
1745,58
4387,58
412,58
730,58
487,58
217,58
4128,58
352,58
1048,58
448,58
1622,57
1149,57
317,57
1082,57
6218,57
3904,57
687,57
1605,57
496,57
159,57
858,57
476,57
357,57
491,57
1109,57
4372,57
4511,57
4418,57
1044,57
1489,57
340,56
4237,56
744,56
615,56
2357,56
436,56
4111,56
3,56
926,56
26,56
4275,56
660,56
61,56
443,56
1639,56
646,56
485,56
303,56
232,56
1450,56
774,56
537,56
546,56
338,56
237,55
228,55
695,55
1577,55
1726,55
1019,55
226,55
4561,55
795,55
507,55
4214,55
1220,55
44,55
424,55
4786,55
119,55
662,55
472,55
1615,55
4088,55
1930,54
4319,54
569,54
101,54
4652,54
753,54
1209,54
783,54
1130,54
874,54
4400,54
4154,54
659,54
1643,54
4287,54
1158,53
1718,53
4546,53
234,53
1511,53
293,53
366,53
634,53
697,53
4811,53
270,53
772,53
894,53
4165,53
1604,53
1732,53
4333,53
4193,53
1692,53
4444,53
778,53
269,53
223,53
4133,53
1734,53
1261,53
873,52
536,52
465,52
2491,52
510,52
1155,52
645,52
1855,52
1137,52
1404,52
104,52
392,52
4208,52
4425,52
1183,52
4085,52
533,52
341,52
680,52
760,52
1806,52
1409,52
1084,52
1215,52
574,52
4305,52
1014,52
4226,52
1427,52
2224,52
408,51
1164,51
866,51
153,51
4121,51
1225,51
4124,51
4294,51
2338,51
6025,51
604,51
890,51
4326,51
321,51
256,51
4717,51
531,51
4091,51
4293,51
4352,51
699,51
490,51
1154,51
1291,51
1706,51
383,51
277,51
1161,51
1125,51
89,51
641,51
4103,51
4626,51
283,51
59,51
144,50
655,50
143,50
4264,50
545,50
521,50
4413,50
877,50
4859,50
702,50
1256,50
62,50
415,50
4384,50
2665,50
358,50
1406,50
3036,50
1494,50
728,50
198,50
426,50
369,50
32,50
421,50
794,50
18,49
5138,49
4144,49
822,49
362,49
427,49
580,49
1492,49
2968,49
4558,49
768,49
4243,49
4548,49
1064,49
592,49
2854,49
4318,49
5059,49
4373,49
1055,49
1819,49
12,49
1966,49
710,49
1510,49
339,49
605,49
567,49
528,49
1119,49
1289,49
1151,49
919,49
4191,48
692,48
254,48
835,48
4259,48
4639,48
346,48
691,48
4084,48
245,48
963,48
1186,48
1408,48
881,48
566,48
359,48
1009,48
4188,48
1578,48
579,48
454,48
936,48
