deptime,avg_arrdelay
NA,
400,-117.83333333333333
420,-91.0
436,-23.5
411,-23.0
441,-23.0
440,-11.833333333333334
455,-11.570866141732283
454,-10.661654135338345
520,-9.78172255095332
452,-9.725806451612904
451,-9.32
456,-8.803108808290155
525,-8.635546334716459
500,-8.488549618320612
457,-8.298076923076923
522,-8.289644012944985
450,-8.208955223880597
524,-8.068155111633372
551,-8.039059386209646
523,-7.981792717086835
552,-7.970544480809283
526,-7.3459214501510575
553,-7.296926818483308
511,-7.197916666666667
503,-7.13125
554,-6.955796200958637
459,-6.941798941798941
521,-6.811735941320293
550,-6.787576374745417
528,-6.561527581329561
527,-6.5465360391882434
510,-6.506389776357827
555,-6.5049885583524025
515,-6.504504504504505
505,-6.4905063291139244
512,-6.45272206303725
502,-6.263473053892215
530,-5.95468224464507
508,-5.834677419354839
509,-5.787003610108303
507,-5.728888888888889
556,-5.640187463386058
516,-5.607792207792208
540,-5.403706395348837
557,-5.2390915193555605
535,-5.2347027972027975
529,-5.1775956284153
514,-5.148264984227129
532,-5.1440781440781445
513,-4.9342560553633215
539,-4.923970432946145
536,-4.818666666666667
538,-4.710477941176471
501,-4.650793650793651
453,-4.563218390804598
549,-4.486627043090639
622,-4.467181467181467
531,-4.377149877149877
534,-4.224427480916031
548,-4.198387096774193
621,-4.153751537515375
624,-4.10111128502113
537,-4.092760180995475
506,-4.0606060606060606
504,-4.058139534883721
623,-4.044332493702771
655,-4.035062131730937
558,-3.9100313844007903
626,-3.9088552326374675
652,-3.8964532611962728
605,-3.8403879064460926
653,-3.8035894843276035
542,-3.779060816012317
620,-3.778785302729763
625,-3.7734971770176022
651,-3.7716100986457115
547,-3.7231441048034934
545,-3.620701058201058
656,-3.5904321878910386
546,-3.4800817160367723
635,-3.410623003194888
607,-3.3580025608194624
654,-3.2579517651170917
559,-3.217220870505542
650,-3.185055321801465
606,-3.184074175074993
519,-3.1512345679012346
610,-3.1302383372867952
611,-3.1301555939738206
600,-3.110070504051352
602,-3.021276595744681
604,-2.9905200433369448
627,-2.9892629904559915
755,-2.9665308138816844
518,-2.8905325443786984
630,-2.8814876957494406
541,-2.8683565004088307
618,-2.8568186975266623
616,-2.850980392156863
640,-2.819517709118312
608,-2.78494623655914
609,-2.781185567010309
657,-2.753594953149643
637,-2.7426687489154955
636,-2.727659574468085
612,-2.7194865810968496
619,-2.6655156537753224
615,-2.662467997951869
601,-2.6475279106858056
725,-2.6304362809290787
638,-2.586309059722439
603,-2.5689283791060853
641,-2.5563415866599293
613,-2.5556866446437
700,-2.553622468000497
628,-2.533985788979756
710,-2.523027027027027
754,-2.4792620522488553
756,-2.3595423563777995
645,-2.349314099844435
639,-2.33551163532037
444,-2.3333333333333335
543,-2.274445357436319
735,-2.26477854243868
720,-2.211491749727783
753,-2.1895358893052754
750,-2.18710164374371
544,-2.1436837029893923
752,-2.133524082021936
631,-2.05
726,-2.0043373493975905
533,-1.9909677419354839
649,-1.9742566354021154
757,-1.9627351664254704
647,-1.943013587507605
705,-1.9108586410312431
632,-1.822808475280432
634,-1.8158541581319132
740,-1.8008542875564153
614,-1.797681291202546
658,-1.7799122379327157
617,-1.6955399061032863
737,-1.6271248400658016
458,-1.625668449197861
642,-1.6129032258064515
745,-1.5805162630863903
644,-1.548596112311015
643,-1.506657444233097
646,-1.497389851743579
736,-1.4670481452249409
805,-1.4261160544528102
629,-1.424862199013635
855,-1.3689140963548305
800,-1.290092382585606
751,-1.2587883320867614
723,-1.254608766898812
730,-1.162294973105784
727,-1.1083819465766043
633,-1.091688089117395
815,-1.072593669250646
703,-1.0563452646001028
739,-0.9201003224650662
648,-0.8852030558906313
738,-0.867384134698837
741,-0.8594995366079703
721,-0.8466922555881689
707,-0.8428241972680504
758,-0.827544328394462
724,-0.8185233890663159
715,-0.8027414043954361
825,-0.77187711259671
734,-0.7710311327003754
810,-0.7525196917083087
856,-0.677607756103259
716,-0.6435643564356436
749,-0.6363085621970921
850,-0.6307083274423866
706,-0.5634490238611713
820,-0.5522058823529412
659,-0.5393913688898314
759,-0.5318400833441854
711,-0.5194681861348528
742,-0.4716532553035845
728,-0.4636984176233323
857,-0.4635946762107147
702,-0.4287467134092901
709,-0.41334287247361834
722,-0.4108983799705449
845,-0.39161882037133694
853,-0.385067450247095
852,-0.365539229276407
854,-0.32919025350726067
729,-0.32292191435768264
704,-0.2685119887165021
713,-0.2382420971472629
701,-0.2143428845846006
748,-0.17948211108914805
835,-0.16336336336336335
840,-0.15079769796750928
826,-0.13871509232412635
718,-0.13638392857142856
900,-0.08841944792290521
858,-0.08227206130959089
517,-0.08169014084507042
905,-0.06581525288440607
733,-0.04838709677419355
824,-0.010845986984815618
708,0.0033066481030281933
827,0.016873889875666074
823,0.07853944195659662
717,0.128
830,0.159265316391999
804,0.1653121217361231
743,0.1797218799507129
732,0.28983050847457625
836,0.3295765577201739
955,0.33286381496033807
712,0.34918062308661985
851,0.3653726708074534
1055,0.3657363550244116
806,0.38765163860220897
828,0.38973277074542895
821,0.40645792563600786
731,0.4090606262491672
744,0.40958060792612544
811,0.4283846872082166
747,0.4407796101949025
801,0.44795117698343506
813,0.48526624159917287
425,0.5
809,0.5664760543245175
822,0.5812626541505613
849,0.5857600243939625
746,0.6016260162601627
837,0.602990540128166
910,0.6126371603210841
925,0.645659401551533
935,0.6786786786786787
714,0.7438404380132968
807,0.8042972247090421
859,0.8207219091018108
812,0.8387263339070568
817,0.8817836812144213
902,0.8867498872010828
1025,0.900140099626401
847,0.9382202304737516
838,0.9453254795348135
1105,0.950119866986312
1100,0.9858630072163729
834,0.9876817792985457
1110,1.020106399624472
832,1.0632710609799083
802,1.0851291184327694
831,1.0955402465554749
814,1.1096293730516107
816,1.1287320666925165
839,1.1827040194884288
901,1.1833899351651744
819,1.186933185267444
